Parameters,Random ,Plant Height (PH),Number of Pods (NP),Biological Weight (BW),Sugars (Su),Relative Water Content in Leaves (RWCL),ChlorophyllA663,Chlorophyllb649,Protein Percentage (PPE),Weight of 300 Seeds (W3S),Leaf Area Index (LAI),Seed Yield per Unit Area (SYUA),Number of Seeds per Pod (NSP),Protein Content (PCO)
C2S3G5,R3,52.2,129.0,132.0,0.194,0.811,1.3,3.1,39.6,43.3,0.05,5457.4,1.86,0.36
C1S3G5,R2,50.0,159.0,207.0,0.563,0.685,1.3,3.1,34.8,35.5,0.05,6934.3,2.2,0.42
C2S1G5,R3,50.4,147.8,150.0,0.989,0.662,5.2,1.2,34.8,35.3,0.09,3356.6,1.88,1.7
C1S3G2,R1,52.2,159.0,131.0,0.163,0.654,1.5,3.2,35.3,34.3,0.09,5453.4,2.2,0.23
C2S1G1,R3,50.3,150.0,77.0,0.445,0.626,1.5,2.2,32.9,35.4,0.09,4423.6,1.7,0.84
C2S1G2,R1,51.2,149.0,123.0,0.502,0.663,2.1,3.1,39.1,33.6,0.09,4213.5,1.7,0.6
C1S2G1,R3,52.1,80.0,115.0,0.644,0.729,6.0,1.5,37.4,35.4,0.05,3653.6,1.64,0.3
C2S1G3,R2,51.0,128.9,70.0,1.1,0.66,1.5,3.3,39.6,29.6,0.08,2567.9,1.8,0.84
C2S1G6,R1,52.2,150.0,83.0,0.49,0.677,1.8,1.3,33.6,35.2,0.07,4326.7,2.04,0.15
C2S1G2,R3,52.2,147.0,122.0,0.553,0.622,2.2,3.0,33.8,32.2,0.06,4486.7,1.9,0.7
C1S1G4,R2,44.3,159.0,96.0,0.546,0.686,6.2,1.3,39.6,47.5,0.1,4679.9,1.84,1.15
C1S2G4,R3,51.0,218.0,127.0,0.323,0.633,4.4,1.9,34.7,32.8,0.07,4211.5,1.85,0.48
C1S1G5,R1,50.5,130.3,111.0,0.433,0.732,1.4,3.1,33.2,33.6,0.08,5567.4,1.86,0.82
C2S3G6,R2,50.0,124.3,33.0,0.169,0.713,4.7,7.8,34.8,26.4,0.02,2470.0,2.08,0.33
C1S1G2,R1,52.4,136.0,223.0,0.523,0.713,1.9,3.3,38.2,38.1,0.07,5216.2,2.06,0.5
C2S2G6,R1,51.4,134.0,60.0,0.235,0.615,4.0,1.9,38.1,42.2,0.05,4013.4,2.2,0.36
C1S1G2,R2,49.2,138.0,226.0,0.579,0.719,1.8,3.2,36.9,37.7,0.06,5187.7,2.2,0.6
C1S1G5,R2,51.2,130.0,113.0,0.43,0.762,1.1,3.5,37.4,36.4,0.1,5740.7,2.6,0.6
C1S3G5,R1,52.0,158.3,205.0,0.531,0.677,1.2,3.2,33.3,32.6,0.07,6645.7,1.87,0.4
C1S1G1,R3,49.5,141.0,67.0,0.161,0.688,1.2,3.1,34.8,51.5,0.06,6365.7,2.08,0.16
C2S1G6,R1,52.2,150.0,83.0,0.49,0.677,1.8,1.3,33.6,35.2,0.07,4326.7,2.04,0.15
